MEDC_ID,MEDC_CD,MEDC_NAME,MEDC_COND,MEDC_CATG,MANF_BRND,EXEC_ID
1,0,Medicament0,Cond9,CategoryMed44,MarqueMed9,12345
2,1,Medicament1,Cond2,CategoryMed13,MarqueMed23,12345
3,10,Medicament10,Cond6,CategoryMed20,MarqueMed16,12345
4,100,Medicament100,Cond8,CategoryMed12,MarqueMed5,12345
5,1000,Medicament1000,Cond6,CategoryMed46,MarqueMed3,12345
6,1001,Medicament1001,Cond1,CategoryMed17,MarqueMed14,12345
7,1002,Medicament1002,Cond11,CategoryMed47,MarqueMed12,12345
8,1003,Medicament1003,Cond7,CategoryMed41,MarqueMed8,12345
9,1004,Medicament1004,Cond8,CategoryMed3,MarqueMed10,12345
10,1005,Medicament1005,Cond4,CategoryMed1,MarqueMed17,12345
11,1006,Medicament1006,Cond9,CategoryMed46,MarqueMed15,12345
12,1007,Medicament1007,Cond10,CategoryMed32,MarqueMed5,12345
13,1008,Medicament1008,Cond8,CategoryMed12,MarqueMed1,12345
14,1009,Medicament1009,Cond10,CategoryMed1,MarqueMed10,12345
15,101,Medicament101,Cond9,CategoryMed37,MarqueMed2,12345
16,1010,Medicament1010,Cond1,CategoryMed41,MarqueMed3,12345
17,1011,Medicament1011,Cond13,CategoryMed25,MarqueMed9,12345
18,1012,Medicament1012,Cond7,CategoryMed8,MarqueMed15,12345
19,1013,Medicament1013,Cond4,CategoryMed15,MarqueMed1,12345
20,1014,Medicament1014,Cond10,CategoryMed28,MarqueMed13,12345
21,1015,Medicament1015,Cond10,CategoryMed13,MarqueMed17,12345
22,1016,Medicament1016,Cond9,CategoryMed19,MarqueMed19,12345
23,1017,Medicament1017,Cond9,CategoryMed22,MarqueMed17,12345
24,1018,Medicament1018,Cond8,CategoryMed11,MarqueMed12,12345
25,1019,Medicament1019,Cond11,CategoryMed1,MarqueMed12,12345
26,102,Medicament102,Cond2,CategoryMed39,MarqueMed1,12345
27,1020,Medicament1020,Cond3,CategoryMed26,MarqueMed21,12345
28,1021,Medicament1021,Cond1,CategoryMed41,MarqueMed13,12345
29,1022,Medicament1022,Cond12,CategoryMed16,MarqueMed10,12345
30,1023,Medicament1023,Cond1,CategoryMed32,MarqueMed20,12345
31,1024,Medicament1024,Cond1,CategoryMed9,MarqueMed18,12345
32,1025,Medicament1025,Cond13,CategoryMed46,MarqueMed1,12345
33,1026,Medicament1026,Cond7,CategoryMed19,MarqueMed1,12345
34,1027,Medicament1027,Cond4,CategoryMed31,MarqueMed9,12345
35,1028,Medicament1028,Cond6,CategoryMed33,MarqueMed23,12345
