PART_ID,SRC_ID,SRC_TYP
1,48,Cardiologue
2,80,Cardiologue
3,3,Chirurgien
4,4,Chirurgien
5,5,Chirurgien
6,6,Chirurgien
7,7,Chirurgien
8,8,Chirurgien
9,11,Chirurgien
10,12,Chirurgien
11,14,Chirurgien
12,18,Chirurgien
13,19,Chirurgien
14,21,Chirurgien
15,23,Chirurgien
16,29,Chirurgien
17,30,Chirurgien
18,31,Chirurgien
19,32,Chirurgien
20,38,Chirurgien
21,39,Chirurgien
22,46,Chirurgien
23,49,Chirurgien
24,53,Chirurgien
25,54,Chirurgien
26,59,Chirurgien
27,62,Chirurgien
28,64,Chirurgien
29,66,Chirurgien
30,70,Chirurgien
31,72,Chirurgien
32,73,Chirurgien
33,75,Chirurgien
34,77,Chirurgien
35,79,Chirurgien
36,82,Chirurgien
37,86,Chirurgien
38,90,Chirurgien
39,92,Chirurgien
40,0,Dentiste
41,20,Dentiste
42,28,Dentiste
43,57,Dentiste
44,63,Dentiste
45,65,Dentiste
46,71,Dentiste
47,89,Dentiste
48,95,Dentiste
49,15,Dermatologiste
50,26,Dermatologiste
51,40,Dermatologiste
52,41,Dermatologiste
53,47,Dermatologiste
54,55,Dermatologiste
55,58,Dermatologiste
56,61,Dermatologiste
57,67,Dermatologiste
58,74,Dermatologiste
59,76,Dermatologiste
60,78,Dermatologiste
61,81,Dermatologiste
62,96,Dermatologiste
63,97,Dermatologiste
64,99,Dermatologiste
65,1,Generaliste
66,2,Generaliste
67,9,Generaliste
68,10,Generaliste
69,13,Generaliste
70,16,Generaliste
71,17,Generaliste
72,22,Generaliste
73,24,Generaliste
74,25,Generaliste
75,27,Generaliste
76,33,Generaliste
77,34,Generaliste
78,35,Generaliste
79,36,Generaliste
80,37,Generaliste
81,42,Generaliste
82,43,Generaliste
83,44,Generaliste
84,45,Generaliste
85,50,Generaliste
86,51,Generaliste
87,52,Generaliste
88,56,Generaliste
89,60,Generaliste
90,68,Generaliste
91,69,Generaliste
92,83,Generaliste
93,84,Generaliste
94,85,Generaliste
95,87,Generaliste
96,88,Generaliste
97,91,Generaliste
98,93,Generaliste
99,94,Generaliste
100,98,Generaliste
101,1230000,Patient
102,1230001,Patient
103,1230003,Patient
104,1230007,Patient
105,1230008,Patient
106,1230011,Patient
107,1230016,Patient
108,1230021,Patient
109,1230023,Patient
110,1230025,Patient
111,1230030,Patient
112,1230032,Patient
113,1230034,Patient
114,1230048,Patient
115,1230059,Patient
116,1230064,Patient
117,1230068,Patient
118,1230076,Patient
119,1230078,Patient
120,1230080,Patient
121,1230085,Patient
122,1230088,Patient
123,1230089,Patient
124,1230090,Patient
125,1230093,Patient
126,1230095,Patient
127,1230098,Patient
128,1230100,Patient
129,1230104,Patient
130,1230114,Patient
131,1230119,Patient
132,1230122,Patient
133,1230127,Patient
134,1230128,Patient
135,1230129,Patient
136,1230131,Patient
137,1230134,Patient
138,1230138,Patient
139,1230140,Patient
140,1230152,Patient
141,1230154,Patient
142,1230156,Patient
143,1230161,Patient
144,1230162,Patient
145,1230163,Patient
146,1230164,Patient
147,1230171,Patient
148,1230172,Patient
149,1230174,Patient
150,1230177,Patient
151,1230181,Patient
152,1230186,Patient
153,1230193,Patient
154,1230196,Patient
155,1230197,Patient
156,1230200,Patient
157,1230203,Patient
158,1230206,Patient
159,1230219,Patient
160,1230232,Patient
161,1230235,Patient
162,1230236,Patient
163,1230239,Patient
164,1230241,Patient
165,1230253,Patient
166,1230257,Patient
167,1230262,Patient
168,1230268,Patient
169,1230274,Patient
170,1230281,Patient
171,1230292,Patient
172,1230298,Patient
173,1230304,Patient
174,1230312,Patient
175,1230326,Patient
176,1230336,Patient
177,1230337,Patient
178,1230342,Patient
179,1230345,Patient
180,1230351,Patient
181,1230353,Patient
182,1230359,Patient
183,1230360,Patient
184,1230363,Patient
185,1230370,Patient
186,1230372,Patient
187,1230386,Patient
188,1230387,Patient
189,1230393,Patient
190,1230397,Patient
191,1230402,Patient
192,1230403,Patient
193,1230407,Patient
194,1230408,Patient
195,1230409,Patient
196,1230410,Patient
197,1230412,Patient
198,1230417,Patient
199,1230420,Patient
200,1230426,Patient
201,1230428,Patient
202,1230436,Patient
203,1230437,Patient
204,1230440,Patient
205,1230443,Patient
206,1230444,Patient
207,1230447,Patient
208,1230450,Patient
209,1230452,Patient
210,1230462,Patient
211,1230463,Patient
212,1230468,Patient
213,1230471,Patient
214,1230473,Patient
215,1230474,Patient
216,1230478,Patient
217,1230482,Patient
218,1230485,Patient
219,1230496,Patient
220,1230499,Patient
221,1230505,Patient
222,1230514,Patient
223,1230521,Patient
224,1230532,Patient
225,1230536,Patient
226,1230540,Patient
227,1230542,Patient
228,1230543,Patient
229,1230547,Patient
230,1230548,Patient
231,1230549,Patient
232,1230562,Patient
233,1230569,Patient
234,1230570,Patient
235,1230571,Patient
236,1230575,Patient
237,1230577,Patient
238,1230578,Patient
239,1230587,Patient
240,1230592,Patient
241,1230593,Patient
242,1230594,Patient
243,1230595,Patient
244,1230600,Patient
245,1230603,Patient
246,1230605,Patient
247,1230608,Patient
248,1230611,Patient
249,1230616,Patient
250,1230619,Patient
251,1230622,Patient
252,1230623,Patient
253,1230627,Patient
254,1230635,Patient
255,1230636,Patient
256,1230642,Patient
257,1230643,Patient
258,1230644,Patient
259,1230647,Patient
260,1230668,Patient
261,1230669,Patient
262,1230672,Patient
263,1230673,Patient
264,1230674,Patient
265,1230683,Patient
266,1230687,Patient
267,1230693,Patient
268,1230698,Patient
269,1230701,Patient
270,1230702,Patient
271,1230710,Patient
272,1230715,Patient
273,1230722,Patient
274,1230725,Patient
275,1230726,Patient
276,1230728,Patient
277,1230738,Patient
278,1230747,Patient
279,1230748,Patient
280,1230753,Patient
281,1230767,Patient
282,1230769,Patient
283,1230770,Patient
284,1230771,Patient
285,1230778,Patient
286,1230784,Patient
287,1230789,Patient
288,1230795,Patient
289,1230796,Patient
290,1230798,Patient
291,1230800,Patient
292,1230803,Patient
293,1230807,Patient
294,1230810,Patient
295,1230813,Patient
296,1230815,Patient
297,1230816,Patient
298,1230819,Patient
299,1230823,Patient
300,1230824,Patient
301,1230831,Patient
302,1230832,Patient
303,1230843,Patient
304,1230844,Patient
305,1230846,Patient
306,1230847,Patient
307,1230852,Patient
308,1230855,Patient
309,1230856,Patient
310,1230857,Patient
311,1230864,Patient
312,1230868,Patient
313,1230874,Patient
314,1230875,Patient
315,1230879,Patient
316,1230889,Patient
317,1230890,Patient
318,1230903,Patient
319,1230910,Patient
320,1230912,Patient
321,1230924,Patient
322,1230930,Patient
323,1230932,Patient
324,1230933,Patient
325,1230939,Patient
326,1230940,Patient
327,1230942,Patient
328,1230945,Patient
329,1230946,Patient
330,1230947,Patient
331,1230949,Patient
332,1230951,Patient
333,1230956,Patient
334,1230961,Patient
335,1230967,Patient
336,1230969,Patient
337,1230971,Patient
338,1230973,Patient
339,1230980,Patient
340,1230983,Patient
341,1230986,Patient
342,1230988,Patient
343,1230994,Patient
344,1230996,Patient
345,1230998,Patient
346,1231004,Patient
347,1231007,Patient
348,1231017,Patient
349,1231018,Patient
350,1231022,Patient
351,1231026,Patient
352,1231028,Patient
353,1231036,Patient
354,1231039,Patient
355,1231046,Patient
356,1231047,Patient
357,1231050,Patient
358,1231051,Patient
359,1231056,Patient
360,1231061,Patient
361,1231062,Patient
362,1231072,Patient
363,1231078,Patient
364,1231088,Patient
365,1231091,Patient
366,1231093,Patient
367,1231098,Patient
368,1231110,Patient
369,1231116,Patient
370,1231120,Patient
371,1231130,Patient
372,1231131,Patient
373,1231133,Patient
374,1231135,Patient
375,1231138,Patient
376,1231140,Patient
377,1231141,Patient
378,1231142,Patient
379,1231143,Patient
380,1231152,Patient
381,1231160,Patient
382,1231163,Patient
383,1231167,Patient
384,1231172,Patient
385,1231175,Patient
386,1231177,Patient
387,1231181,Patient
388,1231183,Patient
389,1231184,Patient
390,1231195,Patient
391,1231201,Patient
392,1231207,Patient
393,1231210,Patient
394,1231212,Patient
395,1231218,Patient
396,1231219,Patient
397,1231229,Patient
398,1231244,Patient
399,1231245,Patient
400,1231250,Patient
401,1231251,Patient
402,1231253,Patient
403,1231260,Patient
404,1231272,Patient
405,1231279,Patient
406,1231283,Patient
407,1231284,Patient
408,1231286,Patient
409,1231293,Patient
410,1231297,Patient
411,1231302,Patient
412,1231324,Patient
413,1231326,Patient
414,1231327,Patient
415,1231329,Patient
416,1231351,Patient
417,1231354,Patient
418,1231361,Patient
419,1231363,Patient
420,1231364,Patient
421,1231369,Patient
422,1231380,Patient
423,1231381,Patient
424,1231390,Patient
425,1231394,Patient
426,1231397,Patient
427,1231404,Patient
428,1231411,Patient
429,1231412,Patient
430,1231415,Patient
431,1231420,Patient
432,1231423,Patient
433,1231425,Patient
434,1231431,Patient
435,1231440,Patient
436,1231441,Patient
437,1231448,Patient
438,1231449,Patient
439,1231455,Patient
440,1231456,Patient
441,1231458,Patient
442,1231462,Patient
443,1231468,Patient
444,1231481,Patient
445,1231485,Patient
446,1231486,Patient
447,1231489,Patient
448,1231497,Patient
449,1231509,Patient
450,1231518,Patient
451,1231521,Patient
452,1231525,Patient
453,1231527,Patient
454,1231538,Patient
455,1231549,Patient
456,1231552,Patient
457,1231558,Patient
458,1231563,Patient
459,1231567,Patient
460,1231571,Patient
461,1231579,Patient
462,1231582,Patient
463,1231586,Patient
464,1231589,Patient
465,1231606,Patient
466,1231608,Patient
467,1231611,Patient
468,1231617,Patient
469,1231622,Patient
470,1231623,Patient
471,1231624,Patient
472,1231627,Patient
473,1231628,Patient
474,1231629,Patient
475,1231644,Patient
476,1231645,Patient
477,1231650,Patient
478,1231653,Patient
479,1231659,Patient
480,1231663,Patient
481,1231668,Patient
482,1231669,Patient
483,1231670,Patient
484,1231673,Patient
485,1231677,Patient
486,1231678,Patient
487,1231684,Patient
488,1231698,Patient
489,1231704,Patient
